59.51,-0.71,1.26,58.67,-0.19,0.54,1.2224565432,1.27,1.1844,5.47,1.16
59.58,-0.76,1.33,58.6,-0.14,0.47,1.4437451299,1.49,1.3954,7.05,0.83
58.44,-0.36,1.1,58.8,-0.62,0.72,0.5844655678,0.63,0.576,3.45,0.94
58.38,-0.31,1.16,58.86,-0.67,0.66,0.7810249676,0.83,0.7696,4.23,1.24
58.35,-0.29,1.19,58.89,-0.69,0.63,0.8747571091,0.94,0.8618,5.2,1.26
58.31,-0.26,1.24,58.93,-0.72,0.58,1.015677114,1.09,0.9999,6.17,1.15
58.24,-0.21,1.3,59,-0.77,0.52,1.2245815612,1.3,1.2057,6.55,0.75
59.04,-0.42,0.58,58.66,-0.66,0.94,0.575847202,0.58,0.5658,3.25,0.75
59.12,-0.37,0.51,58.58,-0.71,1.01,0.810678728,0.82,0.7983,4.16,1.14
59.16,-0.35,0.47,58.54,-0.73,1.05,0.9301612763,0.95,0.917,5.25,1.25
59.2,-0.32,0.44,58.5,-0.76,1.08,1.0455620498,1.07,1.0319,5.64,1.26
59.28,-0.28,0.37,58.42,-0.8,1.15,1.2721635115,1.3,1.2581,6.28,1.01
55.79,-27.08,2.83,55.27,-27.12,2.83,0.5215361924,0.5,0.5203,3.25,0.5
55.9,-27.07,2.83,55.16,-27.13,2.83,0.7424284477,0.69,0.7405,4.08,1.04
56.02,-27.06,2.83,55.04,-27.14,2.83,0.9832598843,0.92,0.9807,5.25,1.29
56.16,-27.05,2.83,54.9,-27.15,2.83,1.2639620247,1.18,1.2608,6.08,0.77
56.26,-27.04,2.83,54.8,-27.16,2.83,1.4649232062,1.38,1.461,7.05,0.32
55.77,-27.36,2.06,55.49,-27.38,2.06,0.280713377,0.27,0.2801,2.95,0.12
56.04,-27.34,2.07,55.22,-27.4,2.05,0.8224354078,0.78,0.8206,4.23,1.19
56.05,-27.34,2.07,55.21,-27.4,2.05,0.8423775875,0.79,0.8406,4.69,1.22
56.11,-27.34,2.07,55.15,-27.4,2.05,0.9620810777,0.91,0.9605,5.05,1.29
56.22,-27.33,2.07,55.04,-27.41,2.05,1.1828778466,1.1,1.1807,5.64,0.98
